Metabolites,Antimetabolites category,Patient 2556,Patient 2766,Patient 2177,Patient 3196,Patient 3477,Patient 2280,,
"8,11-eicosadienoic acid",Discarded fat content,1,1,1,1,1,1,,
9-eicosenoic acid,Discarded fat content,1,1,1,1,1,1,,
9-eicosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
9-heptadecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
9-heptadecylenic acid,Discarded fat content,1,1,1,1,1,1,,
CDP-diacylglycerol-CL pool,Discarded fat content,1,1,1,1,1,1,,
CDP-diacylglycerol-LD-PI pool,Discarded fat content,1,1,1,1,1,1,,
CL pool,Discarded fat content,1,1,1,1,1,1,,
DHA,Discarded fat content,1,1,1,1,1,1,,
DPA,Discarded fat content,1,1,1,1,1,1,,
EPA,Discarded fat content,1,1,1,1,1,1,,
H2O2,Discarded fat content,1,1,1,1,1,1,,
O-propanoylcarnitine,Discarded fat content,1,0,1,0,0,0,,
PC-LD pool,Discarded fat content,1,1,1,1,1,1,,
PE-LD pool,Discarded fat content,1,1,1,0,0,0,,
PG-CL pool,Discarded fat content,1,1,1,1,1,1,,
PGP-CL pool,Discarded fat content,1,1,1,1,1,1,,
PS-LD pool,Discarded fat content,1,1,1,1,1,1,,
[protein]-L-lysine,Discarded fat content,1,1,1,1,1,1,,
"[protein]-N6,N6,N6-trimethyl-L-lysine",Discarded fat content,1,1,1,1,1,1,,
"[protein]-N6,N6-dimethyl-L-lysine",Discarded fat content,1,1,1,1,1,1,,
[protein]-N6-methyl-L-lysine,Discarded fat content,1,1,1,1,1,1,,
acetoacetyl-CoA,Discarded fat content,1,1,1,1,1,1,,
acyl-CoA-CL pool,Discarded fat content,1,1,1,1,1,1,,
acyl-CoA-LD-PC pool,Discarded fat content,1,1,1,1,1,1,,
acyl-CoA-LD-PI pool,Discarded fat content,1,1,1,1,1,1,,
acyl-CoA-LD-SM pool,Discarded fat content,1,0,0,0,1,1,,
acyl-CoA-LD-TG2 pool,Discarded fat content,0,1,0,0,0,0,,
acyl-CoA-LD-TG3 pool,Discarded fat content,1,1,1,1,1,1,,
adrenic acid,Discarded fat content,1,1,1,1,1,1,,
apoA1,Discarded fat content,1,1,1,1,1,1,,
apocytochrome-C,Discarded fat content,1,1,1,1,1,1,,
arachidonate,Discarded fat content,1,1,1,1,1,1,,
arachidonyl-CoA,Discarded fat content,1,1,1,1,1,1,,
behenic acid,Discarded fat content,1,1,1,1,1,1,,
butyryl-CoA,Discarded fat content,1,1,1,1,1,1,,
ceramide pool,Discarded fat content,1,1,1,1,1,1,,
cerotic acid,Discarded fat content,1,1,1,1,1,1,,
cis-(3S)-hydroxytetradec-5-enoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
cis-(3S)-hydroxytetradec-7-enoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
cis-cetoleic acid,Discarded fat content,1,1,1,1,1,1,,
cis-erucic acid,Discarded fat content,1,1,1,1,1,1,,
cis-gondoic acid,Discarded fat content,1,1,1,1,1,1,,
cis-vaccenic acid,Discarded fat content,1,1,1,1,1,1,,
cis-vaccenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
crotonyl-CoA,Discarded fat content,1,1,1,1,1,1,,
decanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
dihomo-gamma-linolenate,Discarded fat content,1,1,1,1,1,1,,
dihomo-gamma-linolenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
dihydroceramide pool,Discarded fat content,1,1,1,1,1,1,,
